127.0.0.1 - - [19/Apr/2026:05:40:40 +0000] "GET /api/search?q=Villarr HTTP/1.1" 200 364 "https://def-figures-mlb-marker.trycloudflare.com/widget" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:16 +0000] "GET / HTTP/1.1" 302 199 "https://www.freelancer.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:16 +0000] "GET /login HTTP/1.1" 200 1208 "https://www.freelancer.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:17 +0000] "GET /static/css/style.css HTTP/1.1" 200 0 "https://def-figures-mlb-marker.trycloudflare.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:17 +0000] "GET /static/images/logo.png HTTP/1.1" 200 0 "https://def-figures-mlb-marker.trycloudflare.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:17 +0000] "GET /favicon.ico HTTP/1.1" 404 207 "https://def-figures-mlb-marker.trycloudflare.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:17 +0000] "GET /favicon.ico HTTP/1.1" 404 207 "https://def-figures-mlb-marker.trycloudflare.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:18 +0000] "GET /favicon.ico HTTP/1.1" 404 207 "-" "WinHTTP Example/1.0"
127.0.0.1 - - [19/Apr/2026:05:41:24 +0000] "POST /login HTTP/1.1" 302 201 "https://def-figures-mlb-marker.trycloudflare.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:24 +0000] "GET /widget HTTP/1.1" 200 2204 "https://def-figures-mlb-marker.trycloudflare.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:24 +0000] "GET /static/css/style.css HTTP/1.1" 304 0 "https://def-figures-mlb-marker.trycloudflare.com/widget" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:24 +0000] "GET /static/images/logo.png HTTP/1.1" 304 0 "https://def-figures-mlb-marker.trycloudflare.com/widget" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:24 +0000] "GET /static/css/tracker.css HTTP/1.1" 200 0 "https://def-figures-mlb-marker.trycloudflare.com/widget" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
